Id da Instalação;Id do Equipamento;Nome;Id Tipo de Equipamento;Tipo de Rede;Agente Proprietário;Número da Outorga;Capacidade CPST Longa sem Limitação (A);Capacidade CPST Curta sem Limitação (A);Capacidade CPST Longa com Limitação (A);Capacidade CPST Curta com Limitação (A);Fator Limitante de Longa;Fator Limitante de Curta;Resistência (%);Reatância Fixa (%);Susceptância Shunt (MVAr);Comprimento (Km);Tipo do Cabo Pára-raio;Tensão;Data de Necessidade do SIN;Data Entrada;Data Prevista
SPITE ;SPITE-3SAA-1        ;LT  345 kV ITAPETI              / SANTO ANGELO         C 1  SP          ;LTR;BASICA         ;ISA ENERGIA BRASIL S.A.                                        ;;1526;1846;1500;1600;D:TC(FT1,33);D:SC;0.05;0.40;7;13;;345;;31/12/1990;
SPITE ;SPITE-3SAA-2        ;LT  345 kV ITAPETI              / SANTO ANGELO         C 2  SP          ;LTR;BASICA         ;ISA ENERGIA BRASIL S.A.                                        ;;1526;1846;1500;1600;D:TC(FT1,33);D:SC;0.05;0.40;7;13;;345;;31/12/1990;
SPINT ;SPINT-3XAV-1        ;LT  345 kV INTERLAGOS           / XAVANTES             C 1  SP          ;LTR;BASICA         ;ISA ENERGIA BRASIL S.A.                                        ;;4397;5144;4000;4000;Ver comentário;O:DJ,BB,TC D:BB;0.01;0.18;5;7;;345;;31/12/1990;
SPINT ;SPINT-3XAV-2        ;LT  345 kV INTERLAGOS           / XAVANTES             C 2  SP          ;LTR;BASICA         ;ISA ENERGIA BRASIL S.A.                                        ;;4397;5144;4000;4000;Ver comentário;O:DJ,BB,TC D:BB,SC;0.01;0.18;5;7;;345;;31/12/1990;
SPXAV ;SPXAV-3BAN-3        ;LT  345 kV XAVANTES             / BANDEIRANTES         C 3  SP          ;LTR;BASICA         ;ISA ENERGIA BRASIL S.A.                                        ;;1138;1138;1138;1138;;;0.01;0.18;117;9;;345;;31/12/1990;
SPXAV ;SPXAV-3BAN-1        ;LT  345 kV XAVANTES             / BANDEIRANTES         C 1  SP          ;LTR;BASICA         ;ISA ENERGIA BRASIL S.A.                                        ;;1138;1138;1138;1138;;;0.01;0.18;117;9;;345;;31/12/1990;
SPXAV ;SPXAV-3MFO-2        ;LT  345 kV XAVANTES             / M. FORNASARO         C 2  SP          ;LTR;BASICA         ;ISA ENERGIA BRASIL S.A.                                        ;;4397;5172;2000;2000;O:SC,TC(FT1,2);O:SC;0.03;0.38;11;16;;345;;31/12/1990;
SPXAV ;SPXAV-3MFO-1        ;LT  345 kV XAVANTES             / M. FORNASARO         C 1  SP          ;LTR;BASICA         ;ISA ENERGIA BRASIL S.A.                                        ;;4397;5172;2000;2000;O:DJ,SC,TC;O:DJ,SC,TC(FT1,2);0.03;0.38;11;16;;345;;31/12/1990;
SPXAV ;SPXAV-3BAN-2        ;LT  345 kV XAVANTES             / BANDEIRANTES         C 2  SP          ;LTR;BASICA         ;ISA ENERGIA BRASIL S.A.                                        ;;1138;1138;1138;1138;;;0.01;0.18;117;9;;345;;31/12/1990;
SPINT ;SPINT-3EMG-2        ;LT  345 kV INTERLAGOS           / EMBU-GUACU           C 2  SP          ;LTR;BASICA         ;ISA ENERGIA BRASIL S.A.                                        ;;1526;1846;1526;1846;;;0.08;0.70;12;22;;345;;31/12/1990;
